UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Oct02 ?        00:00:01 /sbin/init splash
root         2     0  0 Oct02 ?        00:00:00 [kthreadd]
root         3     2  0 Oct02 ?        00:00:00 [ksoftirqd/0]
root         5     2  0 Oct02 ?        00:00:00 [kworker/0:0H]
root         7     2  0 Oct02 ?        00:00:22 [rcu_sched]
root         8     2  0 Oct02 ?        00:00:00 [rcu_bh]
root         9     2  0 Oct02 ?        00:00:00 [migration/0]
root        10     2  0 Oct02 ?        00:00:00 [watchdog/0]
root        11     2  0 Oct02 ?        00:00:00 [watchdog/1]
root        12     2  0 Oct02 ?        00:00:00 [migration/1]
root        13     2  0 Oct02 ?        00:00:00 [ksoftirqd/1]
root        15     2  0 Oct02 ?        00:00:00 [kworker/1:0H]
root        16     2  0 Oct02 ?        00:00:00 [watchdog/2]
root        17     2  0 Oct02 ?        00:00:00 [migration/2]
root        18     2  0 Oct02 ?        00:00:00 [ksoftirqd/2]
root        20     2  0 Oct02 ?        00:00:00 [kworker/2:0H]
root        21     2  0 Oct02 ?        00:00:00 [watchdog/3]
root        22     2  0 Oct02 ?        00:00:00 [migration/3]
root        23     2  0 Oct02 ?        00:00:00 [ksoftirqd/3]
root        25     2  0 Oct02 ?        00:00:00 [kworker/3:0H]
root        26     2  0 Oct02 ?        00:00:00 [kdevtmpfs]
root        27     2  0 Oct02 ?        00:00:00 [netns]
root        28     2  0 Oct02 ?        00:00:00 [perf]
root        29     2  0 Oct02 ?        00:00:00 [khungtaskd]
root        30     2  0 Oct02 ?        00:00:00 [writeback]
root        31     2  0 Oct02 ?        00:00:00 [ksmd]
root        32     2  0 Oct02 ?        00:00:01 [khugepaged]
root        33     2  0 Oct02 ?        00:00:00 [crypto]
root        34     2  0 Oct02 ?        00:00:00 [kintegrityd]
root        35     2  0 Oct02 ?        00:00:00 [bioset]
root        36     2  0 Oct02 ?        00:00:00 [kblockd]
root        37     2  0 Oct02 ?        00:00:00 [ata_sff]
root        38     2  0 Oct02 ?        00:00:00 [md]
root        39     2  0 Oct02 ?        00:00:00 [devfreq_wq]
root        44     2  0 Oct02 ?        00:00:00 [kswapd0]
root        45     2  0 Oct02 ?        00:00:00 [vmstat]
root        46     2  0 Oct02 ?        00:00:00 [fsnotify_mark]
root        47     2  0 Oct02 ?        00:00:00 [ecryptfs-kthrea]
root        63     2  0 Oct02 ?        00:00:00 [kthrotld]
root        64     2  0 Oct02 ?        00:00:00 [acpi_thermal_pm]
root        65     2  0 Oct02 ?        00:00:00 [bioset]
root        66     2  0 Oct02 ?        00:00:00 [bioset]
root        68     2  0 Oct02 ?        00:00:00 [bioset]
root        70     2  0 Oct02 ?        00:00:00 [bioset]
root        71     2  0 Oct02 ?        00:00:00 [bioset]
root        72     2  0 Oct02 ?        00:00:00 [bioset]
root        73     2  0 Oct02 ?        00:00:00 [bioset]
root        74     2  0 Oct02 ?        00:00:00 [bioset]
root        79     2  0 Oct02 ?        00:00:00 [ipv6_addrconf]
root        92     2  0 Oct02 ?        00:00:00 [deferwq]
root        93     2  0 Oct02 ?        00:00:00 [charger_manager]
root       137     2  0 Oct02 ?        00:00:00 [kpsmoused]
root       138     2  0 Oct02 ?        00:00:00 [scsi_eh_0]
root       139     2  0 Oct02 ?        00:00:00 [scsi_tmf_0]
root       140     2  0 Oct02 ?        00:00:00 [scsi_eh_1]
root       141     2  0 Oct02 ?        00:00:00 [scsi_tmf_1]
root       142     2  0 Oct02 ?        00:00:00 [scsi_eh_2]
root       143     2  0 Oct02 ?        00:00:00 [scsi_tmf_2]
root       144     2  0 Oct02 ?        00:00:00 [scsi_eh_3]
root       145     2  0 Oct02 ?        00:00:00 [scsi_tmf_3]
root       153     2  0 Oct02 ?        00:00:00 [bioset]
root       155     2  0 Oct02 ?        00:00:00 [bioset]
root       162     2  0 Oct02 ?        00:00:00 [ttm_swap]
root       184     2  0 Oct02 ?        00:00:00 [kworker/0:1H]
root       185     2  0 Oct02 ?        00:00:00 [kworker/2:1H]
root       186     2  0 Oct02 ?        00:00:00 [kworker/3:1H]
root       187     2  0 Oct02 ?        00:00:01 [kworker/1:1H]
root       189     2  0 Oct02 ?        00:00:02 [jbd2/sda1-8]
root       190     2  0 Oct02 ?        00:00:00 [ext4-rsv-conver]
root       225     2  0 Oct02 ?        00:00:00 [kauditd]
root       227     1  0 Oct02 ?        00:00:00 /lib/systemd/systemd-journald
root       263     1  0 Oct02 ?        00:00:01 /lib/systemd/systemd-udevd
root       368     2  0 Oct02 ?        00:00:00 [irq/47-mei_me]
root       438     2  0 Oct02 ?        00:00:00 [cfg80211]
root       474     2  0 Oct02 ?        00:00:30 [irq/50-iwlwifi]
root       594     2  0 Oct02 ?        00:00:02 [kworker/u9:0]
root       595     2  0 Oct02 ?        00:00:00 [hci0]
root       596     2  0 Oct02 ?        00:00:00 [hci0]
root       597     2  0 Oct02 ?        00:00:00 [kworker/u9:1]
root       617     2  0 Oct02 ?        00:00:00 [kvm-irqfd-clean]
systemd+   634     1  0 Oct02 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       670     2  0 Oct02 ?        00:00:00 [kmemstick]
root       671     2  0 Oct02 ?        00:00:02 [rtsx_usb_ms_1]
root       902     1  0 Oct02 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root       904     1  0 Oct02 ?        00:00:01 /usr/sbin/thermald --no-daemon --dbus-enable
root       909     1  0 Oct02 ?        00:00:00 /usr/sbin/ModemManager
syslog     912     1  0 Oct02 ?        00:00:00 /usr/sbin/rsyslogd -n
root       913     1  0 Oct02 ?        00:00:00 /lib/systemd/systemd-logind
message+   919     1  0 Oct02 ?        00:00:04 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       970     1  0 Oct02 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       972     1  0 Oct02 ?        00:00:00 /sbin/cgmanager -m name=systemd
avahi      976     1  0 Oct02 ?        00:00:01 avahi-daemon: running [dellubuntu.local]
root       986     1  0 Oct02 ?        00:00:00 /usr/sbin/cron -f
root       998     1  0 Oct02 ?        00:00:02 /usr/sbin/acpid
root      1008     1  0 Oct02 ?        00:00:09 /usr/sbin/NetworkManager --no-daemon
root      1024     1  0 Oct02 ?        00:00:00 /usr/lib/snapd/snapd
root      1038     1  0 Oct02 ?        00:00:01 /usr/lib/policykit-1/polkitd --no-debug
avahi     1047   976  0 Oct02 ?        00:00:00 avahi-daemon: chroot helper
root      1060     1  0 Oct02 ?        00:00:00 /usr/sbin/lightdm
root      1066     2  0 Oct02 ?        00:00:00 [iprt-VBoxWQueue]
root      1067     2  0 Oct02 ?        00:00:00 [iprt-VBoxTscThr]
root      1114     1  0 Oct02 ?        00:00:00 /usr/sbin/sshd -D
mysql     1135     1  0 Oct02 ?        00:00:11 /usr/sbin/mysqld
root      1152     1  0 Oct02 ?        00:00:29 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1192  1060  2 Oct02 tty7     00:08:16 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root      1212     1  0 Oct02 ?        00:00:00 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
nobody    1281  1008  0 Oct02 ?        00:00:00 /usr/sbin/dnsmasq --conf-file --no-hosts --keep-in-foreground --bind-interfaces --except-interface=lo --clear-on-reload --strict-order --listen-address=10.42.0.1 --dhcp-range=10.42.0.10,10.42.0.254,60m --dhcp-option=option:router,10.42.0.1 --dhcp-lease-max=50 --pid-file=/var/run/nm-dnsmasq-wlan0.pid --conf-dir=/etc/NetworkManager/dnsmasq-shared.d
nobody    1464  1008  0 Oct02 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --conf-file=/dev/null --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
whoopsie  1511     1  0 Oct02 ?        00:00:00 /usr/bin/whoopsie -f
root      1582     1  0 Oct02 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root      1693  1060  0 Oct02 ?        00:00:00 lightdm --session-child 12 19
rtkit     1736     1  0 Oct02 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1746     1  0 Oct02 ?        00:00:01 /usr/lib/upower/upowerd
colord    1791     1  0 Oct02 ?        00:00:00 /usr/lib/colord/colord
root      1803     2  0 Oct02 ?        00:00:00 [krfcommd]
devansh+  1871     1  0 Oct02 ?        00:00:00 /lib/systemd/systemd --user
devansh+  1872  1871  0 Oct02 ?        00:00:00 (sd-pam)
devansh+  1878     1  0 Oct02 ?        00:00:12 /usr/bin/gnome-keyring-daemon --daemonize --login
devansh+  1880  1693  0 Oct02 ?        00:00:00 /sbin/upstart --user
devansh+  1959  1880  0 Oct02 ?        00:00:00 upstart-udev-bridge --daemon --user
devansh+  1970  1880  0 Oct02 ?        00:00:26 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-Qk09N4zNxe
devansh+  1982  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
devansh+  2008  1880  0 Oct02 ?        00:00:06 upstart-dbus-bridge --daemon --session --user --bus-name session
devansh+  2009  1880  0 Oct02 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
devansh+  2018  1880  0 Oct02 ?        00:01:01 /usr/bin/ibus-daemon --daemonize --xim --address unix:tmpdir=/tmp/ibus
devansh+  2027  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfsd
devansh+  2032  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
devansh+  2046  2018  0 Oct02 ?        00:00:00 /usr/lib/ibus/ibus-dconf
devansh+  2047  2018  0 Oct02 ?        00:00:26 /usr/lib/ibus/ibus-ui-gtk3
devansh+  2067  1880  0 Oct02 ?        00:00:10 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
devansh+  2071  1880  0 Oct02 ?        00:00:00 upstart-file-bridge --daemon --user
devansh+  2073  1880  0 Oct02 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
devansh+  2076  1880  0 Oct02 ?        00:00:00 gpg-agent --homedir /home/devanshmanu/.gnupg --use-standard-socket --daemon
devansh+  2084  1880  0 Oct02 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
devansh+  2089  2084  0 Oct02 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
devansh+  2091  1880  0 Oct02 ?        00:00:02 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
devansh+  2098  2018  0 Oct02 ?        00:00:14 /usr/lib/ibus/ibus-engine-simple
devansh+  2110  1880  0 Oct02 ?        00:00:32 /usr/lib/x86_64-linux-gnu/hud/hud-service
devansh+  2112  1880  0 Oct02 ?        00:00:02 /usr/lib/unity-settings-daemon/unity-settings-daemon
devansh+  2119  1880  0 Oct02 ?        00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
devansh+  2124  1880  0 Oct02 ?        00:00:48 /usr/lib/x86_64-linux-gnu/unity/unity-panel-service
devansh+  2144  1880  0 Oct02 ?        00:00:00 /usr/lib/dconf/dconf-service
devansh+  2155  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
devansh+  2156  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
devansh+  2157  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
devansh+  2162  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
devansh+  2165  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard/indicator-keyboard-service --use-gtk
devansh+  2167  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
devansh+  2168  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-printers/indicator-printers-service
devansh+  2169  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-session/indicator-session-service
devansh+  2182  1880  0 Oct02 ?        00:00:12 /usr/lib/x86_64-linux-gnu/indicator-application/indicator-application-service
devansh+  2201  2112  0 Oct02 ?        00:00:02 syndaemon -i 1.0 -t -K -R
devansh+  2214  1880  0 Oct02 ?        00:01:34 /usr/bin/pulseaudio --start --log-target=syslog
devansh+  2231  1880  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
devansh+  2271  1880  2 Oct02 ?        00:09:40 compiz
devansh+  2273  2119  0 Oct02 ?        00:00:00 /usr/lib/unity-settings-daemon/unity-fallback-mount-helper
devansh+  2274  2119  0 Oct02 ?        00:00:03 /usr/bin/gnome-software --gapplication-service
devansh+  2275  2119  0 Oct02 ?        00:00:29 /usr/bin/indicator-netspeed
devansh+  2279  2119  0 Oct02 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
devansh+  2288  2119  0 Oct02 ?        00:00:14 plank
devansh+  2292  2119  0 Oct02 ?        00:00:18 nautilus -n
devansh+  2293  2119  0 Oct02 ?        00:00:01 nm-applet
devansh+  2298  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
root      2308     1  0 Oct02 ?        00:00:02 /usr/lib/udisks2/udisksd --no-debug
devansh+  2324  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
devansh+  2330  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
devansh+  2335  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
devansh+  2340  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
devansh+  2343  1880  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
root      2345     1  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/fwupd/fwupd
devansh+  2350  1880  0 Oct02 ?        00:00:15 /home/devanshmanu/.dropbox-dist/dropbox-lnx.x86_64-35.4.20/dropbox
devansh+  2370  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.4 /org/gtk/gvfs/exec_spaw/0
devansh+  2396  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.4 /org/gtk/gvfs/exec_spaw/1
devansh+  2427  2343  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory contacts --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2343x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2343/2
devansh+  2437  1880  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
devansh+  2439  2343  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx2343x3 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/2343/3
devansh+  2460  2437  0 Oct02 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory local --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx2437x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/2437/2
devansh+  2486  1880  4 Oct02 ?        00:15:54 /opt/google/chrome/chrome
devansh+  2492  2486  0 Oct02 ?        00:00:00 cat
devansh+  2493  2486  0 Oct02 ?        00:00:00 cat
devansh+  2531  2486  0 Oct02 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
devansh+  2538  2531  0 Oct02 ?        00:00:00 /opt/google/chrome/nacl_helper
devansh+  2543  1880  0 Oct02 ?        00:00:00 /bin/sh -c /usr/lib/x86_64-linux-gnu/zeitgeist/zeitgeist-maybe-vacuum; /usr/bin/zeitgeist-daemon
devansh+  2548  2543  0 Oct02 ?        00:00:00 /usr/bin/zeitgeist-daemon
devansh+  2555  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
devansh+  2557  1880  0 Oct02 ?        00:00:08 zeitgeist-datahub
devansh+  2572  2531  0 Oct02 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
devansh+  2587  1880  0 Oct02 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
devansh+  2594  1880  0 Oct02 ?        00:00:00 /usr/lib/x86_64-linux-gnu/gconf/gconfd-2
devansh+  2611  1880  0 Oct02 ?        00:00:01 /usr/lib/x86_64-linux-gnu/notify-osd
uuidd     2624     1  0 Oct02 ?        00:00:00 /usr/sbin/uuidd --socket-activation
devansh+  2705  2486  2 Oct02 ?        00:08:50 /proc/self/exe --type=gpu-process --field-trial-handle=16976361957487722376,5055490693284962564,131072 --supports-dual-gpus=false --gpu-driver-bug-workarounds=1,7,8,24,30,64,77 --disable-gl-extensions=GL_ARB_timer_query GL_EXT_timer_query GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent --gpu-vendor-id=0x10de --gpu-device-id=0x1299 --gpu-driver-vendor=Mesa --gpu-driver-version=17.0.7 --gpu-driver-date --gpu-secondary-vendor-ids=0x8086 --gpu-secondary-device-ids=0x1626 --gpu-active-vendor-id=0x8086 --gpu-active-device-id=0x1626 --service-request-channel-token=A852FA8C027F0D6403557F4CBE76D7B6
devansh+  2707  2705  0 Oct02 ?        00:00:00 /proc/self/exe --type=gpu-process --field-trial-handle=16976361957487722376,5055490693284962564,131072 --supports-dual-gpus=false --gpu-driver-bug-workarounds=1,7,8,24,30,64,77 --disable-gl-extensions=GL_ARB_timer_query GL_EXT_timer_query GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent --gpu-vendor-id=0x10de --gpu-device-id=0x1299 --gpu-driver-vendor=Mesa --gpu-driver-version=17.0.7 --gpu-driver-date --gpu-secondary-vendor-ids=0x8086 --gpu-secondary-device-ids=0x1626 --gpu-active-vendor-id=0x8086 --gpu-active-device-id=0x1626 --service-request-channel-token=A852FA8C027F0D6403557F4CBE76D7B6
devansh+  2787  2572  0 Oct02 ?        00:00:00 /opt/google/chrome/chrome --type=renderer --field-trial-handle=16976361957487722376,5055490693284962564,131072 --service-pipe-token=AEF0C5B0F756D9E1BE00AFA30C518025 --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --service-request-channel-token=AEF0C5B0F756D9E1BE00AFA30C518025 --renderer-client-id=4 --shared-files=v8_natives_data:100,v8_snapshot_data:101
devansh+  2791  2572  0 Oct02 ?        00:00:36 /opt/google/chrome/chrome --type=renderer --field-trial-handle=16976361957487722376,5055490693284962564,131072 --service-pipe-token=B85537A917A57FEA2A89CD08FF4F12CD --lang=en-GB --extension-process --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553 --disable-accelerated-video-decode --service-request-channel-token=B85537A917A57FEA2A89CD08FF4F12CD --renderer-client-id=5 --shared-files=v8_natives_data:100,v8_snapshot_data:101
